File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample life stage,Biosample sex,Biosample organism
ENCFF000YQP,bam,alignments,ENCSR000EHM,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001GDK,bam,alignments,ENCSR000DXT,ChIP-seq,CL:0000188,skeletal muscle cell,primary cell,,unknown,Homo sapiens
ENCFF001GDP,bam,alignments,ENCSR000DXT,ChIP-seq,CL:0000188,skeletal muscle cell,primary cell,,unknown,Homo sapiens
ENCFF000WAS,bam,alignments,ENCSR000DZG,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WAT,bam,alignments,ENCSR000DZG,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VIN,bam,alignments,ENCSR000EXJ,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000VIO,bam,alignments,ENCSR000EXJ,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF001FNB,bam,alignments,ENCSR000DUO,ChIP-seq,EFO:0002793,HL-60,immortalized cell line,adult,female,Homo sapiens
ENCFF001FNI,bam,alignments,ENCSR000DUO,ChIP-seq,EFO:0002793,HL-60,immortalized cell line,adult,female,Homo sapiens
ENCFF000VJE,bam,alignments,ENCSR000EXK,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000VJG,bam,alignments,ENCSR000EXK,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000VJA,bam,alignments,ENCSR000EXI,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000VJB,bam,alignments,ENCSR000EXI,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000ZOK,bam,alignments,ENCSR000EXN,ChIP-seq,CL:0000765,erythroblast,primary cell,unknown,male,Homo sapiens
ENCFF000VXV,bam,alignments,ENCSR000DZF,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VXW,bam,alignments,ENCSR000DZF,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZOL,bam,alignments,ENCSR000EXO,ChIP-seq,CL:0000765,erythroblast,primary cell,unknown,male,Homo sapiens
ENCFF000ZOQ,bam,alignments,ENCSR000EXO,ChIP-seq,CL:0000765,erythroblast,primary cell,unknown,male,Homo sapiens
ENCFF000ZNU,bam,alignments,ENCSR000EXL,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000ZNV,bam,alignments,ENCSR000EXL,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF000VJN,bam,alignments,ENCSR000EXM,ChIP-seq,EFO:0002713,Panc1,immortalized cell line,unknown,male,Homo sapiens
ENCFF001FLU,bam,alignments,ENCSR000DUF,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF001FLV,bam,alignments,ENCSR000DUF,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF001HSJ,bam,alignments,ENCSR000DVL,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,male,Homo sapiens
ENCFF001HNJ,bam,alignments,ENCSR000DUG,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF001HNK,bam,alignments,ENCSR000DUG,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000VYR,bam,alignments,ENCSR000DZI,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VYY,bam,alignments,ENCSR000DZI,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZOC,bam,alignments,ENCSR000EXP,ChIP-seq,CL:0000765,erythroblast,primary cell,unknown,male,Homo sapiens
ENCFF000ZOD,bam,alignments,ENCSR000EXP,ChIP-seq,CL:0000765,erythroblast,primary cell,unknown,male,Homo sapiens
ENCFF001FNZ,bam,alignments,ENCSR000DUQ,ChIP-seq,CL:0002327,mammary epithelial cell,primary cell,unknown,female,Homo sapiens
ENCFF001FOB,bam,alignments,ENCSR000DUQ,ChIP-seq,CL:0002327,mammary epithelial cell,primary cell,unknown,female,Homo sapiens
ENCFF001HIX,bam,alignments,ENCSR000DSX,ChIP-seq,CL:0002603,astrocyte of the cerebellum,primary cell,unknown,unknown,Homo sapiens
ENCFF001FEW,bam,alignments,ENCSR000DSY,ChIP-seq,CL:0002603,astrocyte of the cerebellum,primary cell,unknown,unknown,Homo sapiens
ENCFF001FEX,bam,alignments,ENCSR000DSY,ChIP-seq,CL:0002603,astrocyte of the cerebellum,primary cell,unknown,unknown,Homo sapiens
ENCFF000YSW,bam,alignments,ENCSR000EGX,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YSY,bam,alignments,ENCSR000EGX,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001HNW,bam,alignments,ENCSR000DUC,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000WCD,bam,alignments,ENCSR000DZK,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WCF,bam,alignments,ENCSR000DZK,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001GGD,bam,alignments,ENCSR000DXY,ChIP-seq,EFO:0001260,WI38,immortalized cell line,unknown,female,Homo sapiens
ENCFF001GGE,bam,alignments,ENCSR000DXY,ChIP-seq,EFO:0001260,WI38,immortalized cell line,unknown,female,Homo sapiens
ENCFF001HWN,bam,alignments,ENCSR000DXE,ChIP-seq,CL:0002306,epithelial cell of proximal tubule,primary cell,unknown,unknown,Homo sapiens
ENCFF001HPJ,bam,alignments,ENCSR000DUR,ChIP-seq,CL:0002327,mammary epithelial cell,primary cell,unknown,female,Homo sapiens
ENCFF000VWX,bam,alignments,ENCSR000DYS,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VWY,bam,alignments,ENCSR000DYS,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000YDD,bam,alignments,ENCSR000EFH,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YDE,bam,alignments,ENCSR000EFH,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000VSB,bam,alignments,ENCSR000DZJ,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VSI,bam,alignments,ENCSR000DZJ,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001HOZ,bam,alignments,ENCSR000DUS,ChIP-seq,CL:0002327,mammary epithelial cell,primary cell,unknown,female,Homo sapiens
ENCFF001HPC,bam,alignments,ENCSR000DUS,ChIP-seq,CL:0002327,mammary epithelial cell,primary cell,unknown,female,Homo sapiens
ENCFF000ZCW,bam,alignments,ENCSR000EFZ,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZCX,bam,alignments,ENCSR000EFZ,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000XZZ,bam,alignments,ENCSR000EFA,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,unknown,Homo sapiens
ENCFF000YAD,bam,alignments,ENCSR000EFA,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,unknown,Homo sapiens
ENCFF000YEP,bam,alignments,ENCSR000EFD,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YES,bam,alignments,ENCSR000EFD,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YDN,bam,alignments,ENCSR000EFE,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YDU,bam,alignments,ENCSR000EFE,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YDL,bam,alignments,ENCSR000EFF,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YDM,bam,alignments,ENCSR000EFF,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YCG,bam,alignments,ENCSR000EFG,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YCH,bam,alignments,ENCSR000EFG,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000WGJ,bam,alignments,ENCSR000DZL,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WGL,bam,alignments,ENCSR000DZL,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001HKS,bam,alignments,ENCSR000DTJ,ChIP-seq,CL:0000746,cardiac muscle cell,primary cell,unknown,unknown,Homo sapiens
ENCFF000ZFA,bam,alignments,ENCSR000EFP,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZFG,bam,alignments,ENCSR000EFP,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZFP,bam,alignments,ENCSR000EFQ,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZFQ,bam,alignments,ENCSR000EFQ,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZDP,bam,alignments,ENCSR000EFR,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZDQ,bam,alignments,ENCSR000EFR,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001HXR,bam,alignments,ENCSR000DXN,ChIP-seq,EFO:0003072,SK-N-SH,immortalized cell line,child,female,Homo sapiens
ENCFF000YJH,bam,alignments,ENCSR000EFS,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YJN,bam,alignments,ENCSR000EFS,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YNB,bam,alignments,ENCSR000EFT,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YNG,bam,alignments,ENCSR000EFT,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YMM,bam,alignments,ENCSR000EFU,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YMP,bam,alignments,ENCSR000EFU,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YTD,bam,alignments,ENCSR000EFV,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YTJ,bam,alignments,ENCSR000EFV,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001HOW,bam,alignments,ENCSR000DUN,ChIP-seq,EFO:0002793,HL-60,immortalized cell line,adult,female,Homo sapiens
ENCFF000YCW,bam,alignments,ENCSR000EFL,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000ZCF,bam,alignments,ENCSR000EFW,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000ZCG,bam,alignments,ENCSR000EFW,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YTP,bam,alignments,ENCSR000EFX,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YTQ,bam,alignments,ENCSR000EFX,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YEY,bam,alignments,ENCSR000EFY,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YFA,bam,alignments,ENCSR000EFY,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001GYG,bam,alignments,ENCSR000DPW,ChIP-seq,CL:2000013,fibroblast of skin of abdomen,primary cell,adult,male,Homo sapiens
ENCFF001HVD,bam,alignments,ENCSR000DWX,ChIP-seq,CL:0000312,keratinocyte,primary cell,unknown,female,Homo sapiens
ENCFF001HVE,bam,alignments,ENCSR000DWX,ChIP-seq,CL:0000312,keratinocyte,primary cell,unknown,female,Homo sapiens
ENCFF001HYQ,bam,alignments,ENCSR000DXX,ChIP-seq,EFO:0001260,WI38,immortalized cell line,unknown,female,Homo sapiens
ENCFF000WED,bam,alignments,ENCSR000DYT,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WEK,bam,alignments,ENCSR000DYT,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001EPM,bam,alignments,ENCSR000DQA,ChIP-seq,CL:0002547,fibroblast of the aortic adventitia,primary cell,unknown,female,Homo sapiens
ENCFF001EPR,bam,alignments,ENCSR000DQA,ChIP-seq,CL:0002547,fibroblast of the aortic adventitia,primary cell,unknown,female,Homo sapiens
ENCFF001HNZ,bam,alignments,ENCSR000DUH,ChIP-seq,CL:1001608,foreskin fibroblast,primary cell,postnatal,male,Homo sapiens
ENCFF000XWP,bam,alignments,ENCSR000EDX,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000XWQ,bam,alignments,ENCSR000EDX,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000YOB,bam,alignments,ENCSR000EFN,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YOC,bam,alignments,ENCSR000EFN,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YBE,bam,alignments,ENCSR000EFB,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,unknown,Homo sapiens
ENCFF000YBG,bam,alignments,ENCSR000EFB,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,unknown,Homo sapiens
ENCFF000YBI,bam,alignments,ENCSR000EFB,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,unknown,Homo sapiens
ENCFF001ENN,bam,alignments,ENCSR000DPK,ChIP-seq,CL:0002553,fibroblast of lung,primary cell,fetal,male,Homo sapiens
ENCFF000YBS,bam,alignments,ENCSR000EFC,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YBZ,bam,alignments,ENCSR000EFC,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YHR,bam,alignments,ENCSR000EFO,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YHS,bam,alignments,ENCSR000EFO,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FWE,bam,alignments,ENCSR000DWB,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FWI,bam,alignments,ENCSR000DWB,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FVU,bam,alignments,ENCSR000DWC,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FVZ,bam,alignments,ENCSR000DWC,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YCI,bam,alignments,ENCSR000EFI,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YCO,bam,alignments,ENCSR000EFI,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF001HTM,bam,alignments,ENCSR000DWA,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FXA,bam,alignments,ENCSR000DWF,ChIP-seq,EFO:0005726,LNCaP clone FGC,immortalized cell line,adult,male,Homo sapiens
ENCFF001FXD,bam,alignments,ENCSR000DWF,ChIP-seq,EFO:0005726,LNCaP clone FGC,immortalized cell line,adult,male,Homo sapiens
ENCFF001KDT,bam,alignments,ENCSR000CFN,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001KDU,bam,alignments,ENCSR000CFN,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001KDW,bam,alignments,ENCSR000CFO,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001KDX,bam,alignments,ENCSR000CFO,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001JZH,bam,alignments,ENCSR000CFM,ChIP-seq,UBERON:0002037,cerebellum,tissue,adult,male,Mus musculus
ENCFF001JZJ,bam,alignments,ENCSR000CFM,ChIP-seq,UBERON:0002037,cerebellum,tissue,adult,male,Mus musculus
ENCFF001LGM,bam,alignments,ENCSR000CFJ,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001LGO,bam,alignments,ENCSR000CFJ,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001LGY,bam,alignments,ENCSR000CFK,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001LGZ,bam,alignments,ENCSR000CFK,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYJ,bam,alignments,ENCSR000CFF,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYK,bam,alignments,ENCSR000CFF,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYW,bam,alignments,ENCSR000CFG,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYX,bam,alignments,ENCSR000CFG,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYP,bam,alignments,ENCSR000CFD,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYQ,bam,alignments,ENCSR000CFD,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYD,bam,alignments,ENCSR000CFE,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JYE,bam,alignments,ENCSR000CFE,ChIP-seq,CL:0002476,bone marrow macrophage,primary cell,adult,male,Mus musculus
ENCFF001JVZ,bam,alignments,ENCSR000CFB,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF001JWB,bam,alignments,ENCSR000CFB,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF001JWL,bam,alignments,ENCSR000CFC,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF001JWM,bam,alignments,ENCSR000CFC,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF001JVV,bam,alignments,ENCSR000CFA,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF001JVY,bam,alignments,ENCSR000CFA,ChIP-seq,UBERON:0001348,brown adipose tissue,tissue,adult,male,Mus musculus
ENCFF000YBJ,bam,alignments,ENCSR000EFM,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF000YBM,bam,alignments,ENCSR000EFM,ChIP-seq,EFO:0001196,IMR-90,immortalized cell line,fetal,female,Homo sapiens
ENCFF001KDC,bam,alignments,ENCSR000CFZ,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001KDE,bam,alignments,ENCSR000CFZ,ChIP-seq,EFO:0005483,ES-Bruce4,stem cell,embryonic,male,Mus musculus
ENCFF001JWP,bam,alignments,ENCSR000CFX,ChIP-seq,NTR:0000741,splenic B cell,primary cell,adult,male,Mus musculus
ENCFF001JWQ,bam,alignments,ENCSR000CFX,ChIP-seq,NTR:0000741,splenic B cell,primary cell,adult,male,Mus musculus
ENCFF001JWX,bam,alignments,ENCSR000CFY,ChIP-seq,NTR:0000741,splenic B cell,primary cell,adult,male,Mus musculus
ENCFF001JWZ,bam,alignments,ENCSR000CFY,ChIP-seq,NTR:0000741,splenic B cell,primary cell,adult,male,Mus musculus
ENCFF001KYD,bam,alignments,ENCSR000CFV,ChIP-seq,UBERON:0002370,thymus,tissue,adult,male,Mus musculus
ENCFF001KYF,bam,alignments,ENCSR000CFV,ChIP-seq,UBERON:0002370,thymus,tissue,adult,male,Mus musculus
ENCFF001LAA,bam,alignments,ENCSR000CFW,ChIP-seq,UBERON:0000955,brain,tissue,embryonic,mixed,Mus musculus
ENCFF001LAB,bam,alignments,ENCSR000CFW,ChIP-seq,UBERON:0000955,brain,tissue,embryonic,mixed,Mus musculus
ENCFF001KVA,bam,alignments,ENCSR000CFT,ChIP-seq,UBERON:0002106,spleen,tissue,adult,male,Mus musculus
ENCFF001KVB,bam,alignments,ENCSR000CFT,ChIP-seq,UBERON:0002106,spleen,tissue,adult,male,Mus musculus
ENCFF001KWW,bam,alignments,ENCSR000CFU,ChIP-seq,UBERON:0000473,testis,tissue,adult,male,Mus musculus
ENCFF001KWX,bam,alignments,ENCSR000CFU,ChIP-seq,UBERON:0000473,testis,tissue,adult,male,Mus musculus
ENCFF001KTU,bam,alignments,ENCSR000CFR,ChIP-seq,UBERON:0002108,small intestine,tissue,adult,male,Mus musculus
ENCFF001KTW,bam,alignments,ENCSR000CFR,ChIP-seq,UBERON:0002108,small intestine,tissue,adult,male,Mus musculus
ENCFF001KTX,bam,alignments,ENCSR000CFS,ChIP-seq,UBERON:0002108,small intestine,tissue,adult,male,Mus musculus
ENCFF001KTY,bam,alignments,ENCSR000CFS,ChIP-seq,UBERON:0002108,small intestine,tissue,adult,male,Mus musculus
ENCFF001KIW,bam,alignments,ENCSR000CFP,ChIP-seq,UBERON:0002113,kidney,tissue,adult,male,Mus musculus
ENCFF001KIX,bam,alignments,ENCSR000CFP,ChIP-seq,UBERON:0002113,kidney,tissue,adult,male,Mus musculus
ENCFF001KJC,bam,alignments,ENCSR000CFQ,ChIP-seq,UBERON:0002113,kidney,tissue,adult,male,Mus musculus
ENCFF001KJD,bam,alignments,ENCSR000CFQ,ChIP-seq,UBERON:0002113,kidney,tissue,adult,male,Mus musculus
ENCFF000XVL,bam,alignments,ENCSR000EDV,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000XVN,bam,alignments,ENCSR000EDV,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF001HRZ,bam,alignments,ENCSR000DVP,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,male,Homo sapiens
ENCFF001HSA,bam,alignments,ENCSR000DVP,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,male,Homo sapiens
ENCFF001HLX,bam,alignments,ENCSR000DTR,ChIP-seq,CL:0002252,epithelial cell of esophagus,primary cell,unknown,unknown,Homo sapiens
ENCFF001HMA,bam,alignments,ENCSR000DTR,ChIP-seq,CL:0002252,epithelial cell of esophagus,primary cell,unknown,unknown,Homo sapiens
ENCFF000VWP,bam,alignments,ENCSR000DZH,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000VWQ,bam,alignments,ENCSR000DZH,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001FLJ,bam,alignments,ENCSR000DUD,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF001FLK,bam,alignments,ENCSR000DUD,ChIP-seq,EFO:0001187,HepG2,immortalized cell line,child,male,Homo sapiens
ENCFF000WDT,bam,alignments,ENCSR000DYU,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WDU,bam,alignments,ENCSR000DYU,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WFW,bam,alignments,ENCSR000EAA,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF000WFY,bam,alignments,ENCSR000EAA,ChIP-seq,EFO:0002784,GM12878,immortalized cell line,adult,female,Homo sapiens
ENCFF001HAF,bam,alignments,ENCSR000DQJ,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001ESD,bam,alignments,ENCSR000DQK,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001ESE,bam,alignments,ENCSR000DQK,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001ERU,bam,alignments,ENCSR000DQL,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001ERZ,bam,alignments,ENCSR000DQL,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001FRY,bam,alignments,ENCSR000DVM,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,male,Homo sapiens
ENCFF001FSD,bam,alignments,ENCSR000DVM,ChIP-seq,CL:0002618,endothelial cell of umbilical vein,primary cell,newborn,male,Homo sapiens
ENCFF001GZV,bam,alignments,ENCSR000DQN,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001HAC,bam,alignments,ENCSR000DQN,ChIP-seq,EFO:0001099,Caco-2,immortalized cell line,adult,male,Homo sapiens
ENCFF001HAL,bam,alignments,ENCSR000DQO,ChIP-seq,CL:0000236,B cell,primary cell,adult,female,Homo sapiens
ENCFF000YZI,bam,alignments,ENCSR000EGW,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000YZL,bam,alignments,ENCSR000EGW,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF001FGX,bam,alignments,ENCSR000DTH,ChIP-seq,CL:0002548,cardiac fibroblast,primary cell,unknown,female,Homo sapiens
ENCFF001ETO,bam,alignments,ENCSR000DQR,ChIP-seq,CL:0000236,B cell,primary cell,adult,female,Homo sapiens
ENCFF001EUF,bam,alignments,ENCSR000DQT,ChIP-seq,EFO:0002783,GM06990,immortalized cell line,unknown,female,Homo sapiens
ENCFF001EUG,bam,alignments,ENCSR000DQT,ChIP-seq,EFO:0002783,GM06990,immortalized cell line,unknown,female,Homo sapiens
ENCFF001ETV,bam,alignments,ENCSR000DQU,ChIP-seq,EFO:0002783,GM06990,immortalized cell line,unknown,female,Homo sapiens
ENCFF001ETZ,bam,alignments,ENCSR000DQU,ChIP-seq,EFO:0002783,GM06990,immortalized cell line,unknown,female,Homo sapiens
